Contest_ID,QB,RB,WR,WR/TE,FLEX,,Sport: Football
,,,,,,,Contest Type: Classic
,,,,,,,Game Slate: Sun 11/12 1:00 PM ET (10 Events)

,,,,,,,Instructions:
,,,,,,,SCROLL RIGHT FOR YOUR CONTEST ID LIST
,,,,,,,1. Create lineups by filling out the Contest_ID and position columns to the left.
,,,,,,,2. Each row represents a single entry.
,,,,,,,"3. To build an entry, select the Contest ID for the contest you would like to enter (provided to the right) and place it in the Contest_ID column."
,,,,,,,4. Complete the entry by placing the unique ID for each card (provided below) into a corresponding position column.
,,,,,,,5. Export this file as a CSV and re-upload it into Reignmakers at: https://www.draftkings.com/nftgames/bulkentry/upload
,,,,,,,
,,,,,,,Reminders:
,,,,,,,1. Cards must remain in your RM collection to be accepted.
,,,,,,,2. Cards must not be in another active Reignmakers entry to be accepted.
,,,,,,,3. Cards must map to an eligible position to be accepted.
,,,,,,,4. All columns in each row must be filled out for the lineup to be accepted.
,,,,,,,"5. Lineups must meet any contest rarity or other gating requirements (superstar, or series etc)."
,,,,,,,"6. Only contest IDs listed to the right will be accepted."
,,,,,,,"7. The csv will be evaluated from top to bottom, so if a later entry conflicts with an earlier entry, the earlier entry will be entered and the later entry will be rejected."
,,,,,,,8. Cards included in templates are not filtered based on set or other contest attribute requirements.
,,,,,,,"9. For set-restricted contests, double-check that your entries contain only cards from eligible sets."

,,,,,,,All Owned Cards Eligible for a Contest of this Slate,,,,,,,,,,,,,,,,,All Contests of Selected Slate
,,,,,,,WR,Zay Flowers, ,2023, ,Core,Rookie Debut,1368,cafde9e2-5a5e-4c6f-8598-a5538a8ce219,cafde9e2-5a5e-4c6f-8598-a5538a8ce219+1368,WR|WR/TE|FLEX,No,CLE @ BAL 11/12 1:00 PM ET,BAL,11.04,No,,153818385,Free,"Classic - LEGENDARY $20K Single Entry [$2K to 1st]",Sun 11/12 1:00 PM ET,Legendary,1,"$20,000.00",Classic,"","",
,,,,,,,WR,Jordan Addison, ,2023, ,Rare,Rookie Debut,245,3b18c5ae-ad63-45cd-b318-94bb2709d162,3b18c5ae-ad63-45cd-b318-94bb2709d162+245,WR|WR/TE|FLEX,No,NO @ MIN 11/12 1:00 PM ET,MIN,15.51,No,,153818386,Free,"Classic - LEGENDARY RMFWC Qualifier #33 [1st Qualifies for $1M World Championship!]",Sun 11/12 1:00 PM ET,Legendary,20,"1 Ticket",Classic,"","",
,,,,,,,RB,Bijan Robinson, ,2023, ,Elite,Rookie Debut,47,7aad07f6-e19c-4e4c-be6f-dc5d51d7edfe,7aad07f6-e19c-4e4c-be6f-dc5d51d7edfe+47,RB|FLEX,No,ATL @ ARI 11/12 4:05 PM ET,ATL,13.49,No,,153818387,Free,"Classic - LEGENDARY Prize Pack Party [Top 2 REIGNMAKER Packs, Top 117 Win]",Sun 11/12 1:00 PM ET,Legendary,100,"95 Packs",Classic,"","",
,,,,,,,RB,Saquon Barkley, ,2023, ,Elite,Play-Action,45,1a4b15dc-c635-406a-8664-0581ff32343d,1a4b15dc-c635-406a-8664-0581ff32343d+45,RB|FLEX,Yes,NYG @ DAL 11/12 4:25 PM ET,NYG,17.20,No,,153869511,Free,"Classic - LEGENDARY Featured Player [Sam LaPorta REIGNMAKER to 1st]",Sun 11/12 1:00 PM ET,Legendary,20,"10 Packs",Classic,"","",
,,,,,,,WR,Isaiah Hodgins, ,2023, ,Elite,Play-Action,14,d5467599-f1fe-4a43-92bb-248174dcfd28,d5467599-f1fe-4a43-92bb-248174dcfd28+14,WR|WR/TE|FLEX,No,NYG @ DAL 11/12 4:25 PM ET,NYG,3.22,No,,153818388,Free,"Classic - REIGNMAKER $100K GTD Cash [$20K to 1st]",Sun 11/12 1:00 PM ET,Reignmaker,150,"$100,000.00",Classic,"","",
,,,,,,,QB,Ryan Tannehill,Q,2023, ,Elite,Play-Action,71,3c0fd5f7-e6ea-469b-a3d0-193d4325e78e,3c0fd5f7-e6ea-469b-a3d0-193d4325e78e+71,QB,No,TEN @ TB 11/12 1:00 PM ET,TEN,9.52,No,,153818389,Free,"Classic - REIGNMAKER $30K Single Entry [$5K to 1st]",Sun 11/12 1:00 PM ET,Reignmaker,1,"$30,000.00",Classic,"","",
,,,,,,,WR,Nick Westbrook-Ikhine, ,2023, ,Elite,Play-Action,31,c48f2ca2-c972-4298-84f4-4b1312fd8445,c48f2ca2-c972-4298-84f4-4b1312fd8445+31,WR|WR/TE|FLEX,No,TEN @ TB 11/12 1:00 PM ET,TEN,7.30,No,,153818390,Free,"Classic - REIGNMAKER $4444 DFS FF Millionaire Satellite [Top 2 Win]",Sun 11/12 1:00 PM ET,Reignmaker,100,"2 Tickets",Classic,"","",
,,,,,,,CB,Adoree' Jackson,OUT,2023, ,Elite,Play-Action,18,e3ddb2ff-535f-4ec5-8a03-b34b357ead5b,e3ddb2ff-535f-4ec5-8a03-b34b357ead5b+18,FLEX,No,NYG @ DAL 11/12 4:25 PM ET,NYG,4.89,No,,153869512,Free,"Classic - REIGNMAKER Featured Player [Michael Thomas REIGNMAKER to 1st]",Sun 11/12 1:00 PM ET,Reignmaker,20,"5 Packs",Classic,"","",
,,,,,,,RB,Antonio Gibson, ,2023, ,Elite,Play-Action,76,505cbc9a-0f4b-4729-815b-bec132ef2ce4,505cbc9a-0f4b-4729-815b-bec132ef2ce4+76,RB|FLEX,No,WAS @ SEA 11/12 4:25 PM ET,WAS,7.12,No,,
,,,,,,,DE,Myles Garrett, ,2023, ,Legendary,Play-Action,4,e8decd68-11e9-438b-a8aa-0007debd7058,e8decd68-11e9-438b-a8aa-0007debd7058+4,FLEX,No,CLE @ BAL 11/12 1:00 PM ET,CLE,10.25,No,,
